Año,Mes,Día,Hora,Minuto,Segundo,pm25,calidad_pm25,calidad
2021,01,01,00,00,00,23.7741,1,1,
2021,01,01,01,00,00,28.5095,1,1,
2021,01,01,02,00,00,27.2400,1,1,
2021,01,01,03,00,00,37.8129,1,1,
2021,01,01,04,00,00,34.1848,1,1,
2021,01,01,05,00,00,34.1002,1,1,
2021,01,01,06,00,00,45.9056,1,1,
2021,01,01,07,00,00,28.2544,1,1,
2021,01,01,08,00,00,23.7000,1,1,
2021,01,01,09,00,00,20.2378,1,1,
2021,01,01,10,00,00,8.3273,1,1,
2021,01,01,11,00,00,9.5461,1,1,
2021,01,01,12,00,00,11.9748,1,1,
2021,01,01,13,00,00,14.4568,1,1,
2021,01,01,14,00,00,19.4357,1,1,
2021,01,01,15,00,00,17.1478,1,1,
2021,01,01,16,00,00,12.1736,1,1,
2021,01,01,17,00,00,6.0305,1,1,
2021,01,01,18,00,00,7.2083,1,1,
2021,01,01,19,00,00,7.1802,1,1,
2021,01,01,20,00,00,10.7190,1,1,
2021,01,01,21,00,00,24.9640,1,1,
2021,01,01,22,00,00,28.4764,1,1,
2021,01,01,23,00,00,16.5622,1,1,
2021,01,02,00,00,00,14.2077,1,1,
2021,01,02,01,00,00,18.9326,1,1,
2021,01,02,02,00,00,21.2872,1,1,
2021,01,02,03,00,00,21.2754,1,1,
2021,01,02,04,00,00,22.4464,1,1,
2021,01,02,05,00,00,20.0318,1,1,
2021,01,02,06,00,00,22.4163,1,1,
2021,01,02,07,00,00,20.0891,1,1,
2021,01,02,08,00,00,15.4344,1,1,
2021,01,02,09,00,00,19.1795,1,1,
2021,01,02,10,00,00,16.9236,1,1,
2021,01,02,11,00,00,14.5434,1,1,
2021,01,02,12,00,00,8.5334,1,1,
2021,01,02,13,00,00,8.5748,1,1,
2021,01,02,14,00,00,17.2284,1,1,
2021,01,02,15,00,00,18.4314,1,1,
2021,01,02,16,00,00,14.5036,1,1,
2021,01,02,17,00,00,9.5759,1,1,
2021,01,02,18,00,00,23.9364,1,1,
2021,01,02,19,00,00,49.9897,1,1,
2021,01,02,20,00,00,65.4422,1,1,
2021,01,02,21,00,00,34.5044,1,1,
2021,01,02,22,00,00,4.7570,1,1,
2021,01,02,23,00,00,5.9407,1,1,
2021,01,03,00,00,00,10.6791,1,1,
2021,01,03,01,00,00,9.4910,1,1,
2021,01,03,02,00,00,21.3370,1,1,
2021,01,03,03,00,00,24.9178,1,1,
2021,01,03,04,00,00,24.9083,1,1,
2021,01,03,05,00,00,18.9527,1,1,
2021,01,03,06,00,00,16.5928,1,1,
2021,01,03,07,00,00,14.2106,1,1,
2021,01,03,08,00,00,7.1329,1,1,
2021,01,03,09,00,00,13.2235,1,1,
2021,01,03,10,00,00,13.3083,1,1,
2021,01,03,11,00,00,10.9519,1,1,
2021,01,03,12,00,00,6.1130,1,1,
2021,01,03,13,00,00,9.8187,1,1,
2021,01,03,14,00,00,6.1132,1,1,
2021,01,03,15,00,00,9.7395,1,1,
2021,01,03,16,00,00,9.7012,1,1,
2021,01,03,17,00,00,9.6905,1,1,
2021,01,03,18,00,00,9.6416,1,1,
2021,01,03,19,00,00,6.0020,1,1,
2021,01,03,20,00,00,8.3854,1,1,
2021,01,03,21,00,00,5.9767,1,1,
2021,01,03,22,00,00,13.0981,1,1,
2021,01,03,23,00,00,26.0785,1,1,
2021,01,04,00,00,00,29.5536,1,1,
2021,01,04,01,00,00,15.3387,1,1,
2021,01,04,02,00,00,10.6175,1,1,
2021,01,04,03,00,00,15.3277,1,1,
2021,01,04,04,00,00,10.6089,1,1,
2021,01,04,05,00,00,15.3208,1,1,
2021,01,04,06,00,00,24.6518,1,1,
2021,01,04,07,00,00,34.0264,1,1,
2021,01,04,08,00,00,27.2243,1,1,
2021,01,04,09,00,00,20.2884,1,1,
2021,01,04,10,00,00,18.0427,1,1,
2021,01,04,11,00,00,15.7780,1,1,
2021,01,04,12,00,00,7.3226,1,1,
2021,01,04,13,00,00,7.3605,1,1,
2021,01,04,14,00,00,17.2874,1,1,
2021,01,04,15,00,00,7.3634,1,1,
2021,01,04,16,00,00,9.8553,1,1,
2021,01,04,17,00,00,3.6757,1,1,
2021,01,04,18,00,00,1.2120,1,1,
2021,01,04,19,00,00,6.0187,1,1,
2021,01,04,20,00,00,4.7971,1,1,
2021,01,04,21,00,00,7.1794,1,1,
2021,01,04,22,00,00,17.8700,1,1,
2021,01,04,23,00,00,32.0407,1,1,
2021,01,05,00,00,00,17.7787,1,1,
2021,01,05,01,00,00,20.1375,1,1,
2021,01,05,02,00,00,20.1422,1,1,
2021,01,05,03,00,00,8.2867,1,1,
2021,01,05,04,00,00,16.5376,1,1,
2021,01,05,05,00,00,20.0638,1,1,
2021,01,05,06,00,00,25.8682,1,1,
2021,01,05,07,00,00,23.5084,1,1,
2021,01,05,08,00,00,11.8897,1,1,
2021,01,05,09,00,00,14.3437,1,1,
2021,01,05,10,00,00,9.6335,1,1,
2021,01,05,11,00,00,7.2530,1,1,
2021,01,05,12,00,00,7.3193,1,1,
2021,01,05,13,00,00,9.8091,1,1,
2021,01,05,14,00,00,11.0724,1,1,
2021,01,05,15,00,00,14.7739,1,1,
2021,01,05,16,00,00,11.0588,1,1,
2021,01,05,17,00,00,1.2191,1,1,
2021,01,05,18,00,00,7.2549,1,1,
2021,01,05,19,00,00,9.6207,1,1,
2021,01,05,20,00,00,8.3826,1,1,
2021,01,05,21,00,00,5.9707,1,1,
2021,01,05,22,00,00,14.2945,1,1,
2021,01,05,23,00,00,17.8331,1,1,
2021,01,06,00,00,00,10.6848,1,1,
2021,01,06,01,00,00,8.2955,1,1,
2021,01,06,02,00,00,9.4698,1,1,
2021,01,06,03,00,00,18.9437,1,1,
2021,01,06,04,00,00,13.0134,1,1,
2021,01,06,05,00,00,22.4383,1,1,
2021,01,06,06,00,00,18.8617,1,1,
2021,01,06,07,00,00,42.3970,1,1,
2021,01,06,08,00,00,17.7479,1,1,
2021,01,06,09,00,00,16.6644,1,1,
2021,01,06,10,00,00,10.7909,1,1,
2021,01,06,11,00,00,8.4708,1,1,
2021,01,06,12,00,00,8.5086,1,1,
2021,01,06,13,00,00,13.4242,1,1,
2021,01,06,14,00,00,17.0579,1,1,
2021,01,06,15,00,00,10.9449,1,1,
2021,01,06,16,00,00,14.6893,1,1,
2021,01,06,17,00,00,14.5972,1,1,
2021,01,06,18,00,00,11.9258,1,1,
2021,01,06,19,00,00,5.8701,1,1,
2021,01,06,20,00,00,9.3893,1,1,
2021,01,06,21,00,00,12.9108,1,1,
2021,01,06,22,00,00,25.8296,1,1,
2021,01,06,23,00,00,55.2027,1,1,
2021,01,07,00,00,00,43.4990,1,1,
2021,01,07,01,00,00,31.7687,1,1,
2021,01,07,02,00,00,29.4730,1,1,
2021,01,07,03,00,00,47.1693,1,1,
2021,01,07,04,00,00,22.4228,1,1,
2021,01,07,05,00,00,25.9491,1,1,
2021,01,07,06,00,00,16.4756,1,1,
2021,01,07,07,00,00,38.8153,1,1,
2021,01,07,08,00,00,38.9002,1,1,
2021,01,07,09,00,00,30.9323,1,1,
2021,01,07,10,00,00,20.4299,1,1,
2021,01,07,11,00,00,12.0795,1,1,
2021,01,07,12,00,00,13.3805,1,1,
2021,01,07,13,00,00,7.3151,1,1,
2021,01,07,14,00,00,4.8520,1,1,
2021,01,07,15,00,00,1.2208,1,1,
2021,01,07,16,00,00,12.1327,1,1,
2021,01,07,17,00,00,7.2501,1,1,
2021,01,07,18,00,00,10.8333,1,1,
2021,01,07,19,00,00,11.9865,1,1,
2021,01,07,20,00,00,13.1226,1,1,
2021,01,07,21,00,00,16.6578,1,1,
2021,01,07,22,00,00,22.5480,1,1,
2021,01,07,23,00,00,37.9442,1,1,
2021,01,08,00,00,00,22.5133,1,1,
2021,01,08,01,00,00,26.0248,1,1,
2021,01,08,02,00,00,21.3217,1,1,
2021,01,08,03,00,00,23.6973,1,1,
2021,01,08,04,00,00,14.2134,1,1,
2021,01,08,05,00,00,25.9934,1,1,
2021,01,08,06,00,00,23.6120,1,1,
2021,01,08,07,00,00,36.5424,1,1,
2021,01,08,08,00,00,28.3140,1,1,
2021,01,08,09,00,00,21.2362,1,1,
2021,01,08,10,00,00,21.4127,1,1,
2021,01,08,11,00,00,14.3288,1,1,
2021,01,08,12,00,00,13.2130,1,1,
2021,01,08,13,00,00,9.6132,1,1,
2021,01,08,14,00,00,4.8186,1,1,
2021,01,08,15,00,00,7.2214,1,1,
2021,01,08,16,00,00,8.4807,1,1,
2021,01,08,17,00,00,10.9089,1,1,
2021,01,08,18,00,00,8.4178,1,1,
2021,01,08,19,00,00,10.7624,1,1,
2021,01,08,20,00,00,7.1533,1,1,
2021,01,08,21,00,00,9.4582,1,1,
2021,01,08,22,00,00,2.3596,1,1,
2021,01,08,23,00,00,3.5404,1,1,
